AGE,SEX,YEAR,HANDED,HEIGHT,WEIGHT,WRIST_CIRC,HAND_LENGTH,HEAD_CIRC,SPAN,FOOT_LENGTH,EAR,EYES
35,Male,2010,Left,1.702,72.6,167,195,568,1745,263,18,62
31,Male,2010,Right,1.655,79.4,176,194,576,1708,267,25,64
21,Male,2010,Right,1.914,94.6,188,218,566,2035,305,19,67.5
39,Male,2010,Right,1.72,80.2,171,190,576,1817,254,26,66
32,Male,2010,Right,1.81,116.2,195,220,612,1965,285,22,70
23,Male,2010,Right,1.85,95.4,185,198,551,1939,281,22,62
36,Male,2010,Right,1.777,99.5,191,197,578,1812,266,29,67.5
23,Male,2010,Left,1.811,70.2,179,200,549,1918,278,25,60
32,Male,2010,Right,1.78,88.2,174,200,578,1840,265,21,68.5
28,Male,2010,None,1.733,70.1,171,194,548,1823,256,21,60.5
36,Male,2010,Right,1.814,103.7,183,210,580,1995,291,21,66.5
26,Male,2010,Right,1.861,111.6,184,194,606,1956,274,26,67.5
22,Male,2010,Right,1.709,89.6,183,184,565,1726,266,23,61
38,Male,2010,Right,1.74,92.4,187,203,567,1883,278,19,66.5
26,Male,2010,Right,1.694,77.9,176,188,575,1739,270,24,66
34,Male,2010,Right,1.766,96.9,180,203,554,1828,270,23,66
31,Male,2010,Right,1.748,76,170,179,567,1749,266,20,65
32,Male,2010,Right,1.794,90.8,175,198,582,1850,277,22,64
28,Male,2010,Right,1.78,71.4,187,195,588,1846,275,23,68
24,Male,2010,Right,1.68,74.6,172,185,568,1695,254,21,60.5
23,Male,2010,Right,1.653,79.2,174,180,573,1706,267,20,64.5
26,Male,2010,Right,1.959,91.5,185,227,575,2072,301,29,71
33,Male,2010,Right,1.755,96.5,186,194,600,1809,277,24,64.5
32,Male,2010,Right,1.63,67.5,157,181,552,1655,263,24,59.5
30,Male,2010,Left,1.825,107.3,184,199,590,1876,266,21,69.5
36,Male,2010,Right,1.795,79.3,180,192,575,1828,275,25,62.5
25,Male,2010,Right,1.745,78.2,183,193,571,1803,278,21,67
33,Male,2010,Right,1.818,88.2,176,196,568,1807,271,20,62
21,Male,2010,Right,1.881,71.5,179,192,583,1898,262,24,66
37,Male,2010,Right,1.675,66.5,158,187,554,1749,269,25,68.5
27,Male,2010,Right,1.852,87.9,183,195,570,1941,280,25,62.5
20,Male,2010,Right,1.785,67.5,171,193,560,1803,265,24,58.5
30,Male,2010,Right,1.791,88.4,168,194,578,1894,284,22,62
20,Male,2010,Left,1.685,69.5,155,183,562,1757,236,22,64.5
30,Male,2010,Right,1.85,121.8,197,197,577,1908,295,24,65
30,Male,2010,Right,1.737,71.9,172,210,583,1854,284,20,65.5
26,Male,2010,Right,1.743,88.1,180,196,605,1769,275,26,66
25,Male,2010,Right,1.744,57.5,161,184,577,1773,250,24,64
24,Male,2010,Right,1.73,86.5,177,190,590,1765,269,22,71
33,Male,2010,Right,1.762,95.8,177,198,568,1810,272,24,67
21,Male,2010,Right,1.669,66.7,164,190,573,1724,256,22,61.5
29,Male,2010,Right,1.74,70.6,178,200,550,1766,260,22,61.5
31,Male,2010,Right,1.709,84.7,170,183,583,1766,237,30,60.5
