Samples of stream invertebrates were sorted and scanned for the presence/absence of 98 key indicator species.		
"These 98 indicator species can be divided into four functional groups (A - D), based upon the feeding type of each species."		
		
Two observers worked on the samples and identified which of the 98 species were present in the samples.		
##########################################		
Group	Individual 1	Individual 2
A	Y	Y
A	N	N
A	Y	Y
A	Y	Y
A	Y	Y
A	N	N
A	N	Y
A	Y	Y
A	Y	Y
A	N	N
A	Y	N
A	N	N
A	N	N
A	Y	Y
A	Y	Y
A	Y	Y
A	Y	Y
A	Y	Y
A	Y	Y
A	N	N
A	Y	Y
A	Y	Y
A	N	N
A	Y	Y
A	Y	N
A	Y	Y
A	N	N
A	Y	N
A	Y	Y
B	N	Y
B	N	Y
B	N	N
B	Y	N
B	Y	N
B	N	N
B	N	Y
B	Y	N
B	N	N
B	Y	Y
B	Y	Y
B	Y	N
B	N	Y
B	Y	N
B	Y	N
B	Y	N
B	Y	N
B	Y	N
B	Y	N
B	N	N
B	Y	Y
B	N	N
B	Y	N
B	Y	Y
B	Y	Y
B	Y	Y
C	Y	N
C	Y	N
C	N	N
C	N	Y
C	N	Y
C	Y	N
C	Y	Y
C	Y	Y
C	Y	Y
C	Y	Y
C	Y	Y
C	Y	N
C	N	Y
C	N	N
C	N	N
C	N	N
C	Y	Y
C	Y	Y
C	Y	N
C	Y	N
C	N	N
C	Y	N
C	Y	Y
D	Y	Y
D	Y	Y
D	Y	Y
D	Y	N
D	Y	Y
D	Y	Y
D	Y	N
D	N	N
D	N	Y
D	N	N
D	N	N
D	N	N
D	N	N
D	N	N
D	N	N
D	N	N
D	N	N
D	N	N
D	N	N
