   longitude       latitude        Jan             Feb             Mar             Apr             May             June            July            Aug             Sept            Oct             Nov             Dec
  -5.0830000e+00   5.0083000e+01   6.6000000e+00   6.3000000e+00   7.2000000e+00   8.7000000e+00   1.1200000e+01   1.3900000e+01   1.5900000e+01   1.5900000e+01   1.4300000e+01   1.2000000e+01   8.9000000e+00   7.5000000e+00
  -5.2500000e+00   5.0083000e+01   6.3000000e+00   6.0000000e+00   7.0000000e+00   8.4000000e+00   1.0900000e+01   1.3600000e+01   1.5500000e+01   1.5600000e+01   1.4000000e+01   1.1800000e+01   8.7000000e+00   7.3000000e+00
  -5.4170000e+00   5.0083000e+01   6.6000000e+00   6.4000000e+00   7.3000000e+00   8.8000000e+00   1.1200000e+01   1.3900000e+01   1.5800000e+01   1.5900000e+01   1.4300000e+01   1.2100000e+01   9.0000000e+00   7.6000000e+00
  -5.5830000e+00   5.0083000e+01   6.6000000e+00   6.2000000e+00   7.1000000e+00   8.5000000e+00   1.0900000e+01   1.3600000e+01   1.5500000e+01   1.5600000e+01   1.4100000e+01   1.1900000e+01   8.9000000e+00   7.6000000e+00
  -3.7500000e+00   5.0250000e+01   5.7000000e+00   5.5000000e+00   6.8000000e+00   8.6000000e+00   1.1400000e+01   1.4200000e+01   1.6200000e+01   1.6000000e+01   1.4300000e+01   1.1900000e+01   8.4000000e+00   6.8000000e+00
  -3.9170000e+00   5.0250000e+01   5.8000000e+00   5.6000000e+00   6.9000000e+00   8.7000000e+00   1.1500000e+01   1.4300000e+01   1.6200000e+01   1.6100000e+01   1.4300000e+01   1.1900000e+01   8.4000000e+00   6.8000000e+00
  -4.9170000e+00   5.0250000e+01   6.3000000e+00   6.0000000e+00   7.1000000e+00   8.7000000e+00   1.1200000e+01   1.4000000e+01   1.5900000e+01   1.5900000e+01   1.4300000e+01   1.2000000e+01   8.8000000e+00   7.3000000e+00
  -5.0830000e+00   5.0250000e+01   6.4000000e+00   6.1000000e+00   7.2000000e+00   8.6000000e+00   1.1200000e+01   1.3900000e+01   1.5800000e+01   1.5900000e+01   1.4300000e+01   1.2000000e+01   8.8000000e+00   7.4000000e+00
  -5.2500000e+00   5.0250000e+01   6.1000000e+00   5.8000000e+00   6.9000000e+00   8.3000000e+00   1.0800000e+01   1.3600000e+01   1.5400000e+01   1.5600000e+01   1.4000000e+01   1.1700000e+01   8.5000000e+00   7.1000000e+00
  -5.4170000e+00   5.0250000e+01   6.5000000e+00   6.3000000e+00   7.3000000e+00   8.7000000e+00   1.1200000e+01   1.3900000e+01   1.5800000e+01   1.5900000e+01   1.4400000e+01   1.2100000e+01   9.0000000e+00   7.5000000e+00
